t,RC,Vin,Vout
1.2812812812812813,1,-1,0.23195063906321103
1.2912912912912913,1,-1,0.21968031635732155
1.3013013013013013,1,-1,0.20753220723487414
1.3113113113113113,1,-1,0.19550509452611442
1.3213213213213213,1,-1,0.18359777311216566
1.3313313313313313,1,-1,0.17180904984548093
1.3413413413413413,1,-1,0.16013774342342732
1.3513513513513513,1,-1,0.14858268426342514
1.3613613613613613,1,-1,0.1371427143796424
1.3713713713713713,1,-1,0.12581668726124443
1.3813813813813813,1,-1,0.11460346775219883
1.3913913913913913,1,-1,0.10350193199600681
1.4014014014014013,1,-1,0.09251096803312595
1.4114114114114114,1,-1,0.08162947469595645
1.4214214214214214,1,-1,0.07085636162533608
1.4314314314314314,1,-1,0.06019054934152556
1.4414414414414414,1,-1,0.04963096914364006
1.4514514514514514,1,-1,0.03917656301108261
1.4614614614614614,1,-1,0.028826283506979317
1.4714714714714714,1,-1,0.018579093683616328
1.4814814814814814,1,-1,0.00843396698987872
1.4914914914914914,1,-1,-0.0016101128593480063
1.5015015015015014,1,-1,-0.01155415281528091
1.5115115115115114,1,-1,-0.021399149573774173
1.5215215215215214,1,-1,-0.03114608962449482
1.5315315315315314,1,-1,-0.04079594961340645
1.5415415415415414,1,-1,-0.05034969643547609
1.5515515515515514,1,-1,-0.05980828732590877
1.5615615615615615,1,-1,-0.06917266994990974
1.5715715715715715,1,-1,-0.07844378249097458
1.5815815815815815,1,-1,-0.08762255373770694
1.5915915915915915,1,-1,-0.09670990318132226
1.6016016016016015,1,-1,-0.10570674170228339
1.6116116116116117,1,-1,-0.11461397105805175
1.6216216216216217,1,-1,-0.1234324837699485
1.6316316316316317,1,-1,-0.13216316346605694
1.6416416416416417,1,-1,-0.14080688496832727
1.6516516516516517,1,-1,-0.14936451437860904
1.6616616616616617,1,-1,-0.15783690916361018
1.6716716716716717,1,-1,-0.16622491823878285
1.6816816816816818,1,-1,-0.17452938205113577
1.6916916916916918,1,-1,-0.18275113266157705
1.7017017017017018,1,-1,-0.19089099396932585
1.7117117117117118,1,-1,-0.1989497816876034
1.7217217217217218,1,-1,-0.20692830331996603
1.7317317317317318,1,-1,-0.21482735832308225
1.7417417417417418,1,-1,-0.22264773818551906
1.7517517517517518,1,-1,-0.23039022650556082
1.7617617617617618,1,-1,-0.23805559906806092
1.7717717717717718,1,-1,-0.2456446239203263
1.7817817817817818,1,-1,-0.2531580614470344
1.7917917917917918,1,-1,-0.2605966644441834
1.8018018018018018,1,-1,-0.267961178312692
1.8118118118118118,1,-1,-0.27525234108979213
1.8218218218218218,1,-1,-0.2824708833614317
1.8318318318318318,1,-1,-0.28961752843439315
1.8418418418418419,1,-1,-0.29669299240787067
1.8518518518518519,1,-1,-0.3036979842441339
1.8618618618618619,1,-1,-0.31063320583833043
1.8718718718718719,1,-1,-0.31749935208742697
1.8818818818818819,1,-1,-0.32429711095829045
1.8918918918918919,1,-1,-0.3310271635549074
1.901901901901902,1,-1,-0.3376901842543834
1.911911911911912,1,-1,-0.3442868407857001
1.921921921921922,1,-1,-0.3508177941460517
1.931931931931932,1,-1,-0.35728369874561955
1.941941941941942,1,-1,-0.36368520247329233
1.951951951951952,1,-1,-0.37002294676052133
1.961961961961962,1,-1,-0.3762975666443911
1.971971971971972,1,-1,-0.3825096908299056
1.981981981981982,1,-1,-0.38865994175148977
1.991991991991992,1,-1,-0.3947489356337068
2.002002002002002,1,1,-0.39677727525994577
2.012012012012012,1,1,-0.3828652665984103
2.022022022022022,1,1,-0.36909182259185097
2.032032032032032,1,1,-0.3554555631513887
2.042042042042042,1,1,-0.34195512189922883
2.052052052052052,1,1,-0.3285891458300752
2.062062062062062,1,1,-0.3153562954248632
2.0720720720720722,1,1,-0.3022552447686565
2.0820820820820822,1,1,-0.28928468124847767
2.0920920920920922,1,1,-0.27644330541219897
2.1021021021021022,1,1,-0.2637298308274337
